TYPE,SOURCE,ASSET CLASS,TENOR,OWNER,RISK CENTRE,BASE CCY,QUOTE CCY,BID,OFFER,CATEGORY,,
FX,3,FXFWD,1M,,SIMU,EUR,USD,-0.001924,-0.001864,Market,0,A
FX,2,FXFWD,6M,,SIMU,GBP,USD,-0.029164,-0.029038,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,SEK,0.046339,0.04859,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,NOK,4.9312,4.935,Market,0,A
FX,3,FXFWD,3M,,SIMU,EUR,USD,-0.006679,-0.006498,Market,0,A
FX,2,FXFWD,10M,,SIMU,EUR,SEK,0.046838,0.052491,Market,0,A
FX,3,FXFWD,3M,,SIMU,USD,JPY,-0.5503,-0.5302,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,CHF,1.12745,1.127754,Market,0,A
MM,2,INTEREST,3M,,SIMU,CHF,,2.71,2.79,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,CHF,1.4913,1.4919,Market,0,A
FX,2,FXFWD,1Y,,SIMU,GBP,USD,-0.054431,-0.05384,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,DKK,0.023464,0.024157,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,SGD,1.4128,1.4128,Market,0,A
FX,2,FXFWD,SN,,SIMU,AUD,USD,-0.000114,-0.000112,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,CAD,0.000116,0.000146,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,CAD,0.000413,0.000519,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,CAD,0.000721,0.000908,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,CAD,0.000937,0.00118,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,CAD,0.000982,0.001236,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,CAD,0.000766,0.000964,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,CAD,0.000549,0.000692,Market,0,A
FX,2,FXFWD,1W,,SIMU,EUR,DKK,0.002599,0.002889,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,SEK,0.099165,0.10398,Market,0,A
MM,2,INTEREST,ON,,SIMU,USD,,3.124,3.204,Market,0,A
FX,3,FXFWD,3M,,SIMU,USD,ZAR,0.233,0.248,Market,0,A
FX,3,FXFWD,6M,,SIMU,USD,JPY,-1.166,-1.1158,Market,0,A
FX,2,FXFWD,1M,,SIMU,GBP,USD,-0.00505,-0.00497,Market,0,A
FX,2,FXFWD,1M,,SIMU,AUD,USD,-0.003427,-0.003361,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,NOK,0.174756,0.178614,Market,0,A
FX,3,FXFWD,6M,,SIMU,EUR,USD,-0.014194,-0.013721,Market,0,A
MM,2,INTEREST,9M,,SIMU,GBP,,5.626,5.801,Market,0,A
FX,3,FXFWD,6M,,SIMU,USD,ZAR,0.4285,0.4585,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,DKK,4.4089,4.4113,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,NOK,9.022,9.026,Market,0,A
FX,3,FXFWD,9M,,SIMU,USD,JPY,-1.746,-1.6832,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,SEK,0.128898,0.135157,Market,0,A
FX,3,FXFWD,1Y,,SIMU,EUR,USD,-0.025669,-0.024702,Market,0,A
FX,2,FXFWD,9M,,SIMU,GBP,USD,-0.04169,-0.041333,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,NOK,0.01588,0.016405,Market,0,A
FX,3,FXFWD,ON,,SIMU,USD,ZAR,0.003,0.0035,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,HKD,-0.001189,-0.001093,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,HKD,-0.004756,-0.004373,Market,0,A
FX,2,FXFWD,3M,,SIMU,AUD,USD,-0.009003,-0.008893,Market,0,A
MM,2,INTEREST,6M,,SIMU,USD,,2.65,2.75,Market,0,A
FX,2,FXSPOT,SP,,SIMU,BWP,USD,0.151234,0.151234,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,HKD,-0.00938,-0.008623,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.9015,0.902,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,HKD,-0.014003,-0.012874,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,HKD,-0.023725,-0.021812,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,HKD,-0.033447,-0.03075,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,HKD,-0.040101,-0.036868,Market,0,A
MM,2,INTEREST,1Y,,SIMU,GBP,,5.47,5.68,Market,0,A
FX,3,FXFWD,1M,,SIMU,EUR,USD,-0.001922,-0.001861,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,JPY,100.24,100.29,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,CHF,-0.000099,-0.000089,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,CHF,-0.000394,-0.000355,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,CHF,-0.000717,-0.000646,Market,0,A
FX,2,FXFWD,6M,,SIMU,AUD,USD,-0.016438,-0.001624,Market,0,A
FX,2,FXFWD,18M,,SIMU,EUR,CHF,-0.02408,-0.02044,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,CHF,-0.00104,-0.000937,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,CHF,-0.002394,-0.002157,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,CHF,-0.0035,-0.003154,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,CHF,-0.004918,-0.004431,Market,0,A
FX,2,FXFWD,3M,,SIMU,GBP,USD,-0.014419,-0.014356,Market,0,A
MM,2,INTEREST,ON,,SIMU,GBP,,5.152,5.265,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,SGD,-0.000501,-0.0004,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,SGD,-0.002005,-0.001601,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,SGD,-0.004009,-0.003202,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,SGD,-0.006014,-0.004803,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,SGD,-0.011488,-0.009175,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.9014,0.902,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,CAD,1.0703,1.0703,Market,0,A
FX,2,FXFWD,9M,,SIMU,AUD,USD,-0.024091,-0.023824,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,SGD,-0.015687,-0.012529,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,HKD,7.80675,7.80675,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,SGD,-0.020693,-0.016527,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,DKK,0.046721,0.048014,Market,0,A
FX,3,FXFWD,TN,,SIMU,USD,ZAR,0.0032,0.0037,Market,0,A
MM,2,INTEREST,TN,,SIMU,CHF,,1.852,2.052,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,SEK,0.002766,0.0029,Market,0,A
FX,3,FXFWD,9M,,SIMU,EUR,USD,-0.019908,-0.019189,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,NOK,0.046852,0.04765,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,SEK,6.641189,6.643307,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.90125,0.902,Market,0,A
FX,2,FXFWD,6M,,SIMU,GBP,USD,-0.02909,-0.028964,Market,0,A
FX,3,FXFWD,1Y,,SIMU,USD,JPY,-2.3347,-2.2591,Market,0,A
MM,2,INTEREST,1Y,,SIMU,USD,,2.78,2.88,Market,0,A
FX,2,FXFWD,1Y,,SIMU,GBP,USD,-0.054291,-0.053703,Market,0,A
FX,2,FXFWD,1Y,,SIMU,AUD,USD,-0.031226,-0.030875,Market,0,A
FX,2,FXFWD,SN,,SIMU,EUR,USD,0.000057,0.000062,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,DKK,0.06973,0.071651,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,SEK,0.012376,0.012976,Market,0,A
FX,3,FXFWD,TN,,SIMU,EUR,USD,0.000056,0.000062,Market,0,A
FX,3,FXFWD,SN,,SIMU,USD,ZAR,0.003,0.0035,Market,0,A
FX,3,FXFWD,TN,,SIMU,USD,JPY,-0.0062,-0.0058,Market,0,A
FX,2,FXFWD,2Y,,SIMU,EUR,CHF,-0.03156,-0.02664,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,NOK,0.093644,0.095625,Market,0,A
FX,2,FXFWD,1M,,SIMU,GBP,USD,-0.005049,-0.004968,Market,0,A
FX,3,FXFWD,3M,,SIMU,EUR,USD,-0.006671,-0.00649,Market,0,A
MM,2,INTEREST,1Y,,SIMU,GBP,,5.47,5.68,Market,0,A
FX,2,FXFWD,3M,,SIMU,GBP,USD,-0.014414,-0.014351,Market,0,A
FX,2,FXSPOT,SP,,SIMU,AUD,USD,0.8762,0.8766,Market,0,A
FX,2,FXFWD,ON,,SIMU,AUD,USD,0.000225,0.00023,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,DKK,0.091819,0.094343,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,SEK,0.024426,0.025612,Market,0,A
FX,3,FXFWD,6M,,SIMU,EUR,USD,-0.014177,-0.013705,Market,0,A
FX,2,FXFWD,9M,,SIMU,GBP,USD,-0.041675,-0.041318,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.90125,0.9019,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,NOK,0.133909,0.136822,Market,0,A
FX,3,FXFWD,1Y,,SIMU,EUR,USD,-0.025638,-0.024672,Market,0,A
FX,3,FXFWD,1M,,SIMU,USD,JPY,-0.1878,-0.1757,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,DKK,0.007768,0.008064,Market,0,A
FX,2,FXFWD,6M,,SIMU,GBP,USD,-0.029079,-0.028954,Market,0,A
MM,2,INTEREST,1Y,,SIMU,USD,,2.778,2.878,Market,0,A
FX,3,FXFWD,1M,,SIMU,EUR,USD,-0.001911,-0.001851,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,SEK,0.035509,0.037233,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,NOK,4.9035,4.9054,Market,0,A
FX,2,FXFWD,TN,,SIMU,AUD,USD,0.000113,0.000115,Market,0,A
FX,3,FXFWD,3M,,SIMU,USD,JPY,-0.5482,-0.5282,Market,0,A
MM,2,INTEREST,9M,,SIMU,USD,,2.706,2.821,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,SEK,10.6895,10.697,Market,0,A
FX,2,FXFWD,1Y,,SIMU,GBP,USD,-0.054272,-0.053683,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,SGD,1.4171,1.4171,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,SEK,0.046592,0.048854,Market,0,A
FX,3,FXFWD,9M,,SIMU,EUR,USD,-0.019792,-0.019076,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,DKK,0.023552,0.024248,Market,0,A
FX,3,FXFWD,3M,,SIMU,USD,ZAR,0.2325,0.2475,Market,0,A
FX,2,FXFWD,TN,,SIMU,GBP,USD,-0.000101,-0.000075,Market,0,A
FX,3,FXFWD,6M,,SIMU,USD,JPY,-1.1613,-1.1113,Market,0,A
FX,3,FXFWD,3M,,SIMU,EUR,USD,-0.006632,-0.006452,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,NOK,0.174078,0.17792,Market,0,A
FX,2,FXFWD,SN,,SIMU,AUD,USD,-0.000115,-0.000113,Market,0,A
FX,2,FXFWD,TN,,SIMU,EUR,DKK,0.000421,0.000523,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,CAD,0.000117,0.000147,Market,0,A
MM,2,INTEREST,1M,,SIMU,CHF,,2.351,2.561,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,CAD,0.000415,0.000523,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,CAD,0.000726,0.000914,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,CAD,0.000943,0.001187,Market,0,A
FX,2,FXFWD,11M,,SIMU,EUR,SEK,0.053163,0.060422,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,CAD,0.000988,0.001244,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,CAD,0.000771,0.00097,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,CAD,0.000553,0.000696,Market,0,A
MM,2,INTEREST,6M,,SIMU,GBP,,5.79,5.93,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,SEK,0.099705,0.104547,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,USD,1.4708,1.4711,Market,0,A
FX,2,FXFWD,1Y,,SIMU,EUR,CHF,-0.01554,-0.0131,Market,0,A
FX,3,FXFWD,6M,,SIMU,EUR,USD,-0.014095,-0.013624,Market,0,A
FX,2,FXFWD,1M,,SIMU,GBP,USD,-0.005032,-0.004952,Market,0,A
FX,2,FXSPOT,SP,,SIMU,BWP,USD,0.15126,0.15126,Market,0,A
FX,2,FXFWD,1M,,SIMU,AUD,USD,-0.003446,-0.003379,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,JPY,100.36,100.45,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,DKK,4.4063,4.4069,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,NOK,0.015914,0.016441,Market,0,A
FX,3,FXFWD,1Y,,SIMU,USD,ZAR,0.747,0.787,Market,0,A
FX,3,FXFWD,1Y,,SIMU,EUR,USD,-0.025488,-0.024528,Market,0,A
MM,2,INTEREST,ON,,SIMU,USD,,3.193,3.242,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,SEK,0.1296,0.135894,Market,0,A
FX,2,FXFWD,9M,,SIMU,GBP,USD,-0.041541,-0.041185,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.90125,0.9017,Market,0,A
FX,3,FXFWD,9M,,SIMU,USD,JPY,-1.7393,-1.6768,Market,0,A
FX,2,FXFWD,1Y,,SIMU,NZD,USD,0.080414,0.081884,Market,0,A
FX,2,FXSPOT,SP,,SIMU,GBP,USD,1.6511,1.6513,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,HKD,-0.001197,-0.0011,Market,0,A
FX,2,FXFWD,3M,,SIMU,AUD,USD,-0.009052,-0.008943,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,HKD,-0.004788,-0.004402,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,HKD,-0.009441,-0.00868,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,HKD,-0.014095,-0.012959,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,CAD,1.06991,1.06991,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,HKD,-0.023881,-0.021956,Market,0,A
MM,2,INTEREST,3M,,SIMU,GBP,,5.75,5.96,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,NOK,9.023,9.026,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,HKD,-0.033667,-0.030953,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,HKD,-0.040365,-0.03711,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,DKK,0.046398,0.047682,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,CHF,-0.000099,-0.000089,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,CHF,-0.000394,-0.000355,Market,0,A
MM,2,INTEREST,TN,,SIMU,USD,,3.156,3.236,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,CHF,-0.000717,-0.000646,Market,0,A
FX,2,FXFWD,6M,,SIMU,AUD,USD,-0.016529,-0.001633,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,CHF,-0.001041,-0.000938,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,CHF,-0.002394,-0.002157,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,CHF,-0.003501,-0.003154,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.90125,0.90165,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,CHF,-0.004918,-0.004432,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,SEK,6.615086,6.616144,Market,0,A
FX,2,FXFWD,3M,,SIMU,GBP,USD,-0.014368,-0.014305,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,HKD,7.80655,7.80655,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,SGD,-0.000502,-0.000401,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,SGD,-0.002007,-0.001603,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,SGD,-0.004013,-0.003205,Market,0,A
MM,2,INTEREST,ON,,SIMU,CHF,,1.81,2.01,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,SGD,-0.00602,-0.004808,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,SGD,-0.011499,-0.009184,Market,0,A
FX,2,FXFWD,9M,,SIMU,AUD,USD,-0.024224,-0.023955,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,SGD,-0.015703,-0.012542,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,CHF,1.4913,1.492,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,SGD,-0.020714,-0.016544,Market,0,A
FX,3,FXFWD,1M,,SIMU,EUR,USD,-0.001912,-0.001852,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,NOK,0.046691,0.047487,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,SEK,0.002739,0.002872,Market,0,A
FX,3,FXFWD,1Y,,SIMU,USD,JPY,-2.3166,-2.2416,Market,0,A
FX,3,FXFWD,9M,,SIMU,EUR,USD,-0.019803,-0.019087,Market,0,A
FX,2,FXFWD,6M,,SIMU,GBP,USD,-0.028985,-0.02886,Market,0,A
MM,2,INTEREST,1Y,,SIMU,CHF,,2.884,2.976,Market,0,A
FX,2,FXFWD,3M,,SIMU,NZD,USD,0.019339,0.020176,Market,0,A
FX,3,FXFWD,3M,,SIMU,EUR,USD,-0.006636,-0.006456,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,DKK,0.069378,0.071289,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.9011,0.9017,Market,0,A
FX,2,FXFWD,1Y,,SIMU,AUD,USD,-0.031399,-0.031046,Market,0,A
FX,2,FXFWD,1Y,,SIMU,GBP,USD,-0.054096,-0.05351,Market,0,A
FX,3,FXFWD,TN,,SIMU,USD,JPY,-0.0062,-0.0058,Market,0,A
MM,2,INTEREST,1M,,SIMU,USD,,2.766,2.9,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,SEK,0.012257,0.012852,Market,0,A
FX,3,FXFWD,6M,,SIMU,EUR,USD,-0.014103,-0.013632,Market,0,A
FX,2,FXFWD,1M,,SIMU,GBP,USD,-0.005068,-0.004987,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,NOK,0.092934,0.0949,Market,0,A
FX,3,FXSPOT,SP,,SIMU,USD,ZAR,6.9136,6.9212,Market,0,A
FX,2,FXSPOT,SP,,SIMU,AUD,USD,0.8797,0.8805,Market,0,A
FX,3,FXFWD,1Y,,SIMU,EUR,USD,-0.025503,-0.024542,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,CHF,1.4913,1.4917,Market,0,A
FX,2,FXFWD,SN,,SIMU,USD,JPY,-0.0062,-0.0058,Market,0,A
FX,2,FXFWD,9M,,SIMU,GBP,USD,-0.041835,-0.041477,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,DKK,0.091811,0.094335,Market,0,A
FX,2,FXFWD,ON,,SIMU,AUD,USD,0.000224,0.000229,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,SEK,0.024192,0.025366,Market,0,A
MM,2,INTEREST,6M,,SIMU,GBP,,5.781,5.921,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,CHF,1.113782,1.114003,Market,0,A
FX,2,FXFWD,1Y,,SIMU,NZD,USD,0.081076,0.082559,Market,0,A
FX,3,FXFWD,1M,,SIMU,EUR,USD,-0.001912,-0.001852,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,NOK,0.134201,0.13712,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,SGD,1.4115,1.4115,Market,0,A
MM,2,INTEREST,9M,,SIMU,USD,,2.698,2.8205,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.90135,0.9017,Market,0,A
FX,2,FXFWD,3M,,SIMU,GBP,USD,-0.01447,-0.014406,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,DKK,0.007742,0.008037,Market,0,A
FX,2,FXFWD,6M,,SIMU,GBP,USD,-0.029191,-0.029065,Market,0,A
FX,3,FXFWD,9M,,SIMU,EUR,USD,-0.01981,-0.019094,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,SEK,0.035168,0.036876,Market,0,A
FX,2,FXFWD,TN,,SIMU,AUD,USD,0.000112,0.000114,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,JPY,100.37,100.46,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,NOK,4.8812,4.8853,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,SEK,0.046145,0.048386,Market,0,A
FX,2,FXFWD,1Y,,SIMU,GBP,USD,-0.05448,-0.053889,Market,0,A
FX,3,FXFWD,3M,,SIMU,EUR,USD,-0.006638,-0.006458,Market,0,A
FX,2,FXFWD,1W,,SIMU,EUR,DKK,0.002599,0.00289,Market,0,A
FX,3,FXFWD,6M,,SIMU,USD,ZAR,0.4285,0.4585,Market,0,A
MM,2,INTEREST,9M,,SIMU,GBP,,5.612,5.787,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,DKK,0.023494,0.024188,Market,0,A
FX,3,FXFWD,3M,,SIMU,USD,JPY,-0.5503,-0.5302,Market,0,A
FX,2,FXFWD,1M,,SIMU,GBP,USD,-0.005033,-0.004952,Market,0,A
FX,3,FXFWD,6M,,SIMU,EUR,USD,-0.014108,-0.013637,Market,0,A
FX,2,FXSPOT,SP,,SIMU,BWP,USD,0.150509,0.150509,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,NOK,0.174167,0.178011,Market,0,A
FX,2,FXFWD,SN,,SIMU,AUD,USD,-0.000114,-0.000112,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,CAD,0.000116,0.000147,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,CAD,0.000414,0.000522,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.90135,0.9018,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,CAD,0.000725,0.000912,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,CAD,0.000941,0.001185,Market,0,A
MM,2,INTEREST,6M,,SIMU,USD,,2.634,2.764,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,CAD,0.000987,0.001242,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,CAD,0.000769,0.000968,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,CAD,0.000552,0.000695,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,SEK,0.098749,0.103544,Market,0,A
FX,3,FXFWD,6M,,SIMU,USD,JPY,-1.1664,-1.1162,Market,0,A
FX,2,FXFWD,3M,,SIMU,GBP,USD,-0.014369,-0.014306,Market,0,A
MM,2,INTEREST,1Y,,SIMU,CHF,,2.872,2.968,Market,0,A
FX,3,FXFWD,1Y,,SIMU,EUR,USD,-0.025512,-0.024551,Market,0,A
FX,2,FXFWD,1M,,SIMU,AUD,USD,-0.003431,-0.003365,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,NOK,9.0235,9.026,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,DKK,4.4053,4.4069,Market,0,A
FX,2,FXFWD,1Y,,SIMU,EUR,SEK,0.062371,0.069333,Market,0,A
FX,2,FXFWD,9M,,SIMU,GBP,USD,-0.041544,-0.041188,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,NOK,0.015843,0.016367,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,CAD,1.0694,1.0694,Market,0,A
FX,3,FXFWD,TN,,SIMU,EUR,USD,0.000056,0.000062,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,SEK,6.61462,6.617077,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,SEK,0.128358,0.134591,Market,0,A
FX,3,FXFWD,9M,,SIMU,USD,JPY,-1.7388,-1.6763,Market,0,A
FX,2,FXSPOT,SP,,SIMU,NZD,USD,0.730856,0.731787,Market,0,A
FX,3,FXFWD,9M,,SIMU,EUR,USD,-0.019912,-0.019192,Market,0,A
MM,2,INTEREST,3M,,SIMU,GBP,,5.744,5.959,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,CHF,1.4917,1.492,Market,0,A
FX,2,FXFWD,6M,,SIMU,GBP,USD,-0.028987,-0.028862,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,HKD,-0.001198,-0.001102,Market,0,A
FX,2,FXFWD,3M,,SIMU,AUD,USD,-0.009013,-0.008904,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,HKD,-0.004793,-0.004407,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,HKD,-0.009452,-0.00869,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,HKD,7.80705,7.80705,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,HKD,-0.014111,-0.012973,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,HKD,-0.023908,-0.021981,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,HKD,-0.033706,-0.030988,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,HKD,-0.040411,-0.037153,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,CHF,-0.000099,-0.000089,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.90135,0.90165,Market,0,A
MM,2,INTEREST,ON,,SIMU,USD,,3.307,3.3071,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,CHF,-0.000395,-0.000356,Market,0,A
FX,2,FXFWD,2M,,SIMU,USD,CHF,-0.000719,-0.000648,Market,0,A
FX,2,FXFWD,3M,,SIMU,USD,CHF,-0.001043,-0.000939,Market,0,A
FX,2,FXFWD,6M,,SIMU,AUD,USD,-0.016458,-0.001626,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,CHF,-0.002399,-0.002162,Market,0,A
FX,2,FXFWD,9M,,SIMU,USD,CHF,-0.003508,-0.003161,Market,0,A
MM,2,INTEREST,3M,,SIMU,USD,,2.771,2.871,Market,0,A
FX,2,FXFWD,1Y,,SIMU,USD,CHF,-0.004928,-0.004441,Market,0,A
FX,2,FXFWD,6M,,SIMU,USD,DKK,0.046529,0.047817,Market,0,A
FX,3,FXFWD,1Y,,SIMU,USD,JPY,-2.312,-2.2372,Market,0,A
FX,2,FXFWD,1Y,,SIMU,GBP,USD,-0.0541,-0.053514,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,CHF,1.4917,1.4921,Market,0,A
FX,2,FXFWD,1W,,SIMU,USD,SGD,-0.0005,-0.000399,Market,0,A
FX,2,FXFWD,1M,,SIMU,USD,SGD,-0.001998,-0.001596,Market,0,A
